id	Col_0_1	Col_0_2	Col_0_3	Col_48_1	Col_48_2	Col_48_3	col0_1	col0_2	col0_3	bmi1abc_1	bmi1abc_2	clfswn_1	clfswn_2	clfswn_3
AT3G21280	2.695547263	2.709355857	3.46562278	7.606871538	7.770445716	7.772920613	7.278164	7.753929	7.118408	5.696489	5.889769	7.703288	7.374025	6.72829
AT3G21290	4.192864526	4.015724258	3.466754494	6.782146115	7.077764268	7.970132305	7.08001	8.411653	8.391007	5.450562	5.90681	8.711306	7.478093	7.805127
AT3G21295	7.204424478	7.651579756	8.103358946	6.580101067	6.22205652	6.161263038	4.244019	4.968014	5.455969	3.92948	4.761397	4.121037	4.290712	4.582441
AT3G21300	1.987194742	2.21014857	1.844168825	28.29184363	27.67174141	26.93243178	8.986316	9.008261	9.257922	3.605624	4.40205	6.843679	6.817399	6.383154
AT3G21310	0	0	0	0.074726978	0.110127507	0.112906846	0.702076	0.529675	0.316606	0	0.056346	0.26937	0.230722	0.132146
AT3G21330	0	0	0	14.85489418	11.5129909	15.14192731	0.74862	1.215879	0.685861	1.995848	1.758372	0.246405	0.633694	0.736907
AT3G21340	0	0	0	0.720514821	0.498149714	0.752642581	1.336039	2.151325	2.129879	0.229358	0.249584	0.917341	0.626837	1.05315
AT3G21350	10.66108261	10.14691728	8.335605298	44.93121425	46.46426528	41.0452083	39.6846	36.01107	36.72349	15.44215	15.24129	24.48487	22.75063	24.22646
AT3G21351	0.115585631	0.343658648	0.109704371	5.977296825	6.198877424	5.853585492	5.508382	10.89348	6.014678	8.74646	8.792575	59.26991	53.32355	55.46694
AT3G21352	1.288147015	1.856927312	2.334060587	0.504652554	0	0.50832805	1.314317	3.150002	0.742886	3.21235	4.66516	1.148039	3.03373	4.07338
AT3G21360	11.37565549	12.16877802	12.93906567	6.679002246	7.199128711	6.988914728	6.518027	4.921854	4.334221	7.006683	8.168003	9.531012	7.945789	11.24089
AT3G21370	2626.158349	2707.508841	2789.215589	37.29680378	41.48573689	37.248168	0	0	0	8.070742	22.46434	245.9814	211.8289	399.2714
AT3G21380	1600.007239	1690.241039	1720.264434	19.6339916	19.96779573	18.80435142	0	0	0	1.246269	4.792892	70.0755	65.66036	116.7993
AT3G21390	0.864401161	1.468590527	0.937621101	4.150798334	4.287242147	3.573529497	3.953031	5.980877	5.250118	6.122657	6.432605	6.413752	5.01168	4.845872
AT3G21400	3.342351157	3.271592615	4.112220941	13.15886727	13.45255084	12.35911794	7.001754	6.342959	7.759926	29.28091	29.60857	29.40184	31.63218	28.91864
AT3G21420	0.073694467	0	0.034972363	4.12855397	2.860178799	4.371885861	4.219198	4.994992	5.317639	10.16097	12.43359	12.74265	11.10033	13.46132
AT3G21430	2.581882803	3.409078067	2.44282888	5.755055489	5.380124846	6.874387623	9.516488	9.633799	9.126161	9.357037	10.19209	12.26156	11.58385	11.60541
AT3G21460	0	0.118127341	0	0	0	0.17246395	0.460638	0.249163	0.367783	0.17636	0.039397	0	0.116908	0
AT3G21480	0.38050052	0.49708739	0.328308898	3.875749027	4.369293405	4.779869225	3.120135	4.204846	3.303517	3.84277	4.43766	7.997022	8.334516	7.176566
AT3G21510	0.038602708	0	0.036638515	13.58570981	10.13342654	14.18735922	22.99039	26.23154	25.37843	5.836627	4.73234	27.42454	19.69159	24.51588
AT3G21520	0.576405469	0.095209222	0.364717765	0	0	0	0.761294	1.125041	1.06634	0.091942	0.02713	1.662514	2.192966	1.652045
AT3G21530	0.051470278	0.10202079	0.073277029	0.480582932	0.254243677	0.484083123	7.823621	7.785614	8.12554	1.872913	1.790468	3.581601	3.33267	3.435385
AT3G21540	3.263253858	3.249645494	2.66538924	14.17544317	13.92719881	15.0278063	6.076925	7.117902	6.690434	13.10474	14.16579	15.02632	17.41744	15.90578
AT3G21550	0	0	0	6.231772444	4.158774263	7.224655634	13.81954	15.26526	14.19678	0.982377	0.417874	7.008874	8.866368	8.593998
AT3G21560	51.46666035	52.40877561	45.53084177	190.1756627	170.4038101	200.7113619	16.75807	17.36625	18.59977	151.3192	227.7779	146.1811	152.1156	113.8651
AT3G21570	1.267687182	0.488584639	0.668435763	0	0	0	0	0	0	0	0	0	0	0
AT3G21580	3.126819369	2.716303531	2.454780481	20.29538689	15.90839005	15.47204136	7.117526	7.854558	9.323833	5.118637	5.883805	9.22742	7.785857	8.085837
AT3G21590	0	0.080465284	0.038529774	0	0	0	0	0	0	0	0	0	0	0
AT3G21600	54.21962709	57.39894137	58.17636924	19.014498	21.09383797	17.83010594	4.219331	4.090654	4.76498	5.692237	10.93567	16.87421	19.13931	16.20431
AT3G21610	6.375956665	7.172905311	7.359973156	16.95636196	17.2674253	19.69793943	16.71582	19.30563	16.83431	7.123441	7.877658	16.70193	14.18717	14.77844
AT3G21620	0.022685641	0	0.021531344	0.879859445	1.056551342	1.411463302	0.277392	0.496908	0.233591	0.695019	0.654621	0.244763	0.275067	0.151182
AT3G21630	3.29093037	4.028944099	4.409619311	9.767526086	8.127974771	8.928326004	15.72927	14.0835	15.28867	13.30772	11.78166	12.19239	12.41212	11.53804
AT3G21640	6.076539446	7.505110671	6.433929585	21.27372096	22.2802158	21.82630742	13.64736	15.99046	14.70809	12.96592	10.85109	15.21046	14.19125	17.68935
AT3G21650	13.79159635	16.36485064	16.80012309	14.28570057	15.13894716	12.53446469	7.861121	7.469976	7.702077	2.134525	2.721991	4.312307	4.978683	4.494709
AT3G21670	0	0	0.031088131	4.752196403	6.240708623	5.26074905	3.829285	5.580062	6.440376	18.5671	16.85451	3.215432	2.258409	2.594117
AT3G21680	0	0	0	4.563524749	3.586885613	7.469738092	6.589303	7.314119	5.821774	19.08674	14.88883	10.05632	8.684709	11.309
AT3G21690	38.78040649	32.08395691	28.28551089	39.78216129	37.09254157	42.38960875	41.9058	40.70792	45.97599	46.22419	59.30848	89.07375	87.5228	81.46312
AT3G21700	10.22962021	12.71459857	11.82397034	17.84691581	20.34559341	20.90791493	4.446249	4.546219	5.350971	2.717684	2.746995	5.499009	4.707366	6.024818
